name,screen_name,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
Akshay Kumar,akshaykumar,44618398,27,hi,,Actor,http://pbs.twimg.com/profile_images/1513413525187743746/JVdygchC_normal.jpg,http://www.facebook.com/akshaykumarofficial,2022-05-12 09:50:32
Salman Khan,BeingSalmanKhan,44100805,28,en,MUMBAI,Actor,http://pbs.twimg.com/profile_images/1268824832424022017/vUx5TGw7_normal.jpg,,2022-05-12 09:50:32
Hrithik Roshan,iHrithik,31649067,88,en,,Actor,http://pbs.twimg.com/profile_images/1166471091663122433/5ULjGFJS_normal.jpg,,2022-05-12 08:50:20
Emma Watson,EmmaWatson,28733486,396,,,Actor,http://pbs.twimg.com/profile_images/1449352213260902402/-YoHW5N5_normal.jpg,,2022-05-12 13:51:23
Deepika Padukone,deepikapadukone,27596486,67,,,Actor,http://pbs.twimg.com/profile_images/1344886403444817920/uvBOq5Wc_normal.jpg,,2022-05-12 13:50:26
Alia Bhatt,aliaa08,21453677,224,en,,Actor,http://pbs.twimg.com/profile_images/1426856110036721664/KOCpzVH-_normal.jpg,https://linktr.ee/Gangubai_Tickets,2022-05-12 10:50:46
Zendaya,Zendaya,20818794,1699,und,,Actor,http://pbs.twimg.com/profile_images/1447981759857975296/gTrTKJVm_normal.jpg,https://lab.lnk.to/ImTired,2022-05-12 13:51:38
Anupam Kher,AnupamPKher,19794357,202,en,"Mumbai, India",Actor,http://pbs.twimg.com/profile_images/1515695185916833795/wBRfTmeK_normal.jpg,http://www.theanupamkher.com,2022-05-12 13:50:47
Ryan Reynolds,VancityReynolds,19583878,1234,en,🇨🇦 & 🏴󠁧󠁢󠁷󠁬󠁳󠁿,Actor,http://pbs.twimg.com/profile_images/1299844050208555008/7wMQaJRA_normal.jpg,https://mountain.com/,2022-05-12 09:50:58
ashton kutcher,aplusk,17155659,765,en,"Los Angeles, California",Actor,http://pbs.twimg.com/profile_images/1422734984864059405/4KVwkf2e_normal.jpg,https://www.gofundme.com/f/stand-with-ukraine,2022-05-12 14:11:55
Tom Hanks,tomhanks,16295165,25,,Los Angeles,Actor,http://pbs.twimg.com/profile_images/1193951507026075648/Ot3GmqGK_normal.jpg,http://www.playtone.com,2022-05-12 09:50:58
Dwayne Johnson,TheRock,16143927,350,en,,Actor,http://pbs.twimg.com/profile_images/3478244961/01ebfc40ecc194a2abc81e82ab877af4_normal.jpeg,https://linktr.ee/therock,2022-05-12 13:50:26
Jacqueline Fernandez,Asli_Jacqueline,15765872,203,en,,Actor,http://pbs.twimg.com/profile_images/1296059958459416577/mEtP0MTl_normal.jpg,https://m.youtube.com/watch?v=VMaRaJaXvtk&feature=youtu.be,2022-05-12 08:50:20
Chris Evans,ChrisEvans,15595934,727,,,Actor,http://pbs.twimg.com/profile_images/1320917504013848577/-VTJLuI9_normal.jpg,http://www.astartingpoint.com,2022-05-12 12:50:48
Shahid Kapoor,shahidkapoor,15505427,97,en,,Actor,http://pbs.twimg.com/profile_images/1520369721149104131/5zBuhli5_normal.jpg,http://facebook.com/shahidkapoor,2022-05-12 09:50:32
Ajay Devgn,ajaydevgn,15437154,61,en,Mumbai,Actor,http://pbs.twimg.com/profile_images/1493235003144040449/9mFkj9Av_normal.jpg,https://bit.ly/Runway34Trailer2,2022-05-12 07:51:14
Ricky Gervais,rickygervais,14839392,1525,en,Earth,Actor,http://pbs.twimg.com/profile_images/1379503126076604416/xyP35KuE_normal.jpg,http://www.rickygervais.com,2022-05-12 07:50:55
